health1,health2,health3,inicial_mana,skill_cost,attack1,attack2,attack3,attack_speed,armor,mr,attack_range,cost
650.0,1170.0,2106.0,40,80,50.0,90.0,162.0,0.55,40,40,1.0,1
850.0,1530.0,2754.0,0,40,30.0,54.0,97.2,0.75,30,30,4.0,4
800.0,1440.0,2592.0,0,50,63.0,113.4,204.12,0.75,30,30,4.0,4
800.0,1440.0,2592.0,20,80,50.0,90.0,162.0,0.8,40,40,4.0,5
800.0,1440.0,2592.0,25,70,35.0,63.0,113.4,0.75,30,30,4.0,4
850.0,1530.0,2754.0,30,100,60.0,108.0,194.4,0.6,50,50,1.0,3
1000.0,1800.0,3240.0,60,100,65.0,117.0,210.6,0.6,50,50,1.0,4
750.0,1350.0,2430.0,30,80,65.0,117.0,210.6,0.65,45,45,1.0,2
650.0,1170.0,2106.0,25,75,50.0,90.0,162.0,0.6,35,35,1.0,1
700.0,1260.0,2268.0,30,120,53.0,95.4,171.72,0.75,25,25,4.0,3
800.0,1440.0,2592.0,30,80,45.0,81.0,145.8,0.7,45,45,1.0,2
700.0,1260.0,2268.0,0,55,40.0,72.0,129.6,0.75,25,25,4.0,3
800.0,1440.0,2592.0,0,45,40.0,72.0,129.6,0.7,50,50,2.0,3
900.0,1620.0,2916.0,20,80,60.0,108.0,194.4,0.6,50,50,1.0,3
1100.0,1980.0,3564.0,30,100,80.0,144.0,259.2,0.85,60,60,1.0,5
850.0,1530.0,2754.0,20,80,50.0,90.0,162.0,0.65,50,50,1.0,3
800.0,1440.0,2592.0,0,2,50.0,90.0,162.0,0.6,55,55,2.0,2
800.0,1440.0,2592.0,0,60,60.0,108.0,194.4,0.6,45,45,1.0,2
850.0,1530.0,2754.0,25,75,50.0,90.0,162.0,0.65,50,50,1.0,3
650.0,1170.0,2106.0,20,80,55.0,99.0,178.2,0.6,40,40,1.0,1
550.0,990.0,1782.0,4,74,44.0,79.2,142.56,0.74,20,20,4.0,2
650.0,1170.0,2106.0,0,50,55.0,99.0,178.2,0.7,25,25,4.0,3
500.0,900.0,1620.0,0,50,48.0,86.4,155.52,0.7,15,15,4.0,1
1000.0,1800.0,3240.0,0,0,20.0,36.0,64.8,1.0,60,60,1.0,5
500.0,900.0,1620.0,0,40,50.0,90.0,162.0,0.7,15,15,4.0,1
550.0,990.0,1782.0,0,50,35.0,63.0,113.4,0.75,20,20,4.0,2
1100.0,1980.0,3564.0,50,110,60.0,108.0,194.4,0.6,60,60,1.0,4
800.0,1440.0,2592.0,50,150,50.0,90.0,162.0,0.75,30,30,4.0,4
850.0,1530.0,2754.0,30,80,50.0,90.0,162.0,0.6,50,50,1.0,3
500.0,900.0,1620.0,0,40,30.0,54.0,97.2,0.7,15,15,4.0,1
700.0,1260.0,2268.0,0,50,52.0,93.6,168.48,0.8,45,45,1.0,2
1000.0,1800.0,3240.0,35,85,60.0,108.0,194.4,0.65,60,60,1.0,4
650.0,1170.0,2106.0,20,60,40.0,72.0,129.6,0.75,40,40,1.0,1
650.0,1170.0,2106.0,20,70,60.0,108.0,194.4,0.55,40,40,1.0,1
1000.0,1800.0,3240.0,70,150,66.0,118.8,213.84,0.91,60,60,1.0,5
750.0,1350.0,2430.0,0,60,65.0,117.0,210.6,0.8,50,50,1.0,3
700.0,1260.0,2268.0,40,80,60.0,108.0,194.4,0.75,40,40,1.0,2
900.0,1620.0,2916.0,20,100,70.0,126.0,226.8,0.8,50,50,4.0,5
1000.0,1800.0,3240.0,50,140,60.0,108.0,194.4,0.6,60,60,1.0,4
700.0,1260.0,2268.0,0,100,85.0,153.0,275.4,0.6,25,25,4.0,3
550.0,990.0,1782.0,0,60,30.0,54.0,97.2,0.7,15,15,4.0,1
600.0,1080.0,1944.0,0,50,55.0,99.0,178.2,0.8,40,40,1.0,1
1000.0,1800.0,3240.0,30,60,140.0,252.0,453.6,0.8,70,70,1.0,2
800.0,1440.0,2592.0,25,80,50.0,90.0,162.0,0.6,50,50,1.0,2
650.0,1170.0,2106.0,25,75,45.0,81.0,145.8,0.65,40,40,1.0,1
600.0,1080.0,1944.0,10,70,35.0,63.0,113.4,0.75,20,20,4.0,2
850.0,1530.0,2754.0,0,40,66.0,118.8,213.84,0.85,40,40,4.0,5
700.0,1260.0,2268.0,15,75,35.0,63.0,113.4,0.75,25,25,4.0,3
550.0,990.0,1782.0,30,90,60.0,108.0,194.4,0.75,25,25,4.0,2
550.0,990.0,1782.0,0,40,35.0,63.0,113.4,0.7,20,20,4.0,2
800.0,1440.0,2592.0,0,30,30.0,54.0,97.2,0.8,30,30,4.0,4
650.0,1170.0,2106.0,30,85,55.0,99.0,178.2,0.6,40,40,1.0,1
1100.0,1980.0,3564.0,25,65,60.0,108.0,194.4,0.9,60,60,1.0,5
800.0,1440.0,2592.0,25,75,65.0,117.0,210.6,0.8,30,30,4.0,4
650.0,1170.0,2106.0,0,30,35.0,63.0,113.4,0.75,25,25,4.0,3
900.0,1620.0,2916.0,30,100,60.0,108.0,194.4,0.75,40,40,1.0,5
1050.0,1890.0,3402.0,30,50,50.0,90.0,162.0,0.95,65,65,1.0,4
800.0,1440.0,2592.0,0,40,65.0,117.0,210.6,0.75,30,30,5.0,4
850.0,1530.0,2754.0,25,70,40.0,72.0,129.6,0.75,30,30,4.0,4
500.0,900.0,1620.0,10,60,30.0,54.0,97.2,0.7,15,15,4.0,1
